Title,Description,Requirements,Company Size,Category
Automation engineer,"Duties and Responsibilities:
"" Design, develop, and maintain automated tests for backend, UI, and API components to ensure comprehensive test coverage.
"" Collaborate with cross-functional teams to integrate automated testing into CI/CD pipelines and ensure timely delivery of high-quality software.
"" Work closely with developers team members to identify test scenarios ,test manually and automate them effectively.
"" Troubleshoot and debug automation code to ensure reliable test execution and accurate results.
"" Continuously improve test coverage, execution efficiency, and reliability through optimization of automation frameworks and processes.
"" Mentor team members on automation best practices and provide technical support as needed.
"" Manage zero bug approach",""" BSc in Computer sciences, Software engineering, or equivalent experience (IDF courses or equivalent bootcamp courses)
"" 7+ years of automation testing
"" Bachelors degree in Computer Science, Engineering, or related field.
"" Proven experience in automating tests for backend, UI, and API layers using programming languages such as Java/C#/Python, and frameworks such as Cucumber or other BDD framework.
"" Familiarity with testing tools such as Selenium, Cypress, and Postman for backend, UI, and API testing.
"" Experience collaborating with cross-functional teams in Agile environments, preferably within a CI/CD pipeline.
"" Strong problem-solving skills and the ability to troubleshoot issues in automated tests across different layers.
"" Excellent communication skills with the ability to effectively communicate technical concepts to non-technical stakeholders.
"" Demonstrated ability to adapt to changing project requirements and technology stacks.
"" Continuous improvement mindset with a proactive approach to enhancing automation frameworks and processes.
"" Experience in mentoring team members and providing technical guidance on automation best practices is a plus.
Bonus Points
"" Experience with containerization technologies such as Docker or Kubernetes.
"" Experience with Linux",Small (0 - 50),Software
Experienced Test Automation Developer,"Experienced Test Automation Developer to a Software team.
to be a part of the multi-disciplinary team that develops and maintains challenging security solutions for the PC and Server markets.
The role includes Design & Development of automatic testing systems for embedded security products.","- Experience with tests development and tests automation - At least 5 years
- Excellent knowledge in C# - Must
- Experience in working with boards, chips and HW embedded systems - Advantage
- Knowledge in Security/Cryptography - Advantage
- Highly motivated team player with excellent oral and written communication skills
- Independent with ability to quickly learn new technologies and drive execution",לא צוין,Software
C# Automation Engineer,"We are looking for a C# Automation Engineer for a product group to develop, maintain and improve the automation framework to ensure the highest level of quality.
Moving the group’s products to the cloud and need to cover it with new automation in the most effective ways.","At least 2 years of experience in developing Object-Oriented C# windows applications.

Good understanding and experience with coding standards and design patterns

Experience in designing and developing product’s automation

Deep knowledge of at least one test framework: NUnit, MStest, JUnit

Fast technology adaptation.

Good interpersonal skills.

Good English.",לא צוין,Software
C# Automation Engineer,"We are looking for a C# Automation Engineer for a product group to develop, maintain and improve the automation framework to ensure the highest level of quality.
Moving the group’s products to the cloud and need to cover it with new automation in the most effective ways.","At least 2 years of experience in developing Object-Oriented C# windows applications.

Good understanding and experience with coding standards and design patterns

Experience in designing and developing product’s automation

Deep knowledge of at least one test framework: NUnit, MStest, JUnit

Fast technology adaptation.

Good interpersonal skills.

Good English.",לא צוין,Software
Automation Engineer,"Our group's mission is to protect sensitive assets using an access control layer (authentication & authorization), cryptography, and secure communication while practicing the highest security standards. Our goal is to build and maintain a scalable, fault-tolerant, high-load, distributed system.

In this role you will be part of CyberArk’s core products transformation to the new generation software-as-a-service.

You will be designing and implementing test automation infrastructures in a multi-service complex environment.","Bachelor’s degree in computer science or related field/technology unit graduate with relevant experience.
At least 2-3 years experience in test automation OOP (Python / C#) and hands-on development in complex multi-platform and multi-component environments.
Good script skills (PowerShell, Groovy or Python)
Experience in Continuous Integration and Automation with Jenkins.
Familiarity with AWS cloud environment.
Strong ability to use new technologies and understand them in depth through rapid self-learning.
Excellent design and analytical skills.
Strong experience in QA methodologies.",500+,Software
Performance SW Engineer,"Join us at the forefront of innovative financial technology. Come work with us!
In this role, you will be involved in design reviews, drive architectural decisions and work closely with technical leaders.
You will participate in the whole life-cycle of features and releases, working closely with the R&D groups - from product requirements, through R&D and test automation development, you will own the performance aspects of the entire product and platform, making a huge impact on product scalability.
You are encouraged to be innovative, strive for excellence, and care about the small details.
"" Design and build new performance automatic tests, including infrastructure development and improvement
"" Drive performance automation across all engineering disciplines (BackEnd, Front End, Infrastructure) to the next level in terms of efficiency and stability
"" Proactively monitor production environments availability, creating a holistic view of system health by collaborating with Ops and Engineering teams
"" Define and implement performance benchmarks framework and tools
"" Run external and internal API stress testing according to non-functional requirements
"" Support production release cycle and customer-related performance related incidents
Our stack is:
"" SaaS multi-tenant solution of microservices architecture managed over Kubernetes
"" Multi-cloud-based solution
"" Data pipelines technologies using various big data databases
"" State-of-the-art CI/CD with cloud monitoring",""" At least 5 years of experience in development/ Automation
"" At least 1-3 years of experience in performance testing
"" Experience with large-scale cloud production systems (AWS, Azure, GCP)
"" Experience with high-level languages such as Java, Python, C++
"" Experience with API stress testing and benchmarking
"" Experience with monitoring and related technologies - Grafana, Prometheus, APM, DataDog, Linux
"" Excellent analytical and interpersonal skills, with the ability to work successfully with engineers, product owners, and business stakeholders
"" Process driver-have a proactive approach to spotting problems, areas for improvement, and performance bottlenecks
"" Advantage - Knowledge of financial systems
"" Advantage - Experience with Big Data / NoSQL databases performance
"" Advantage - B.Sc in computer science or equivalent studies",Small (0 - 50),Software
Software Engineer,"We’re looking for a challenge-seeking, code writing, innovative thinker that loves to explore and conquer new technologies. This is an exciting opportunity to join the experts and to learn from the best in the industry. As a Software Engineer, you will create and implement a variety of web products, accompanying the entire lifecycle, from idea to full-scale product. You will be working with the latest technologies, databases, and 3rd party APIs, including Facebook, Google, Amazon Web Services, and more. You will work with data structure algorithms such as machine learning, data mining, and optimizations, tackling industry challenges head-on. Working as part of a small elite team, you will directly impact the company’s success. You will utilize your solid foundation in computer science in order to consistently come up with new ideas to build products from scratch or to improve “ongoing” products. We’re looking for a self-starter, enthusiastic, optimistic, fast learner, good communicator, with a passion for coding.","Responsibilities
Build and enhance, web servers, websites and analytics tools - Full Stack
Integrate with 3rd party APIs including but not limited to Facebook, Google Ads, AWS and more.
Work mainly in Java and some with C#, JavaScript, HTML, CSS.
Proactively identify opportunities for process improvement.
Work closely with product managers for product characterization and features definition.
Work closely with web designers.


Requirements
Computer Science Bachelor Degree.
Experience designing and programming distributed, large software systems using OOP (JAVA, C++, C# and other OOP languages).
A team player yet independent worker with good communication skills (written and oral).
Willing to work flexible hours as needed.


Advantages
Experience using modern web client-side tools, frameworks and methods (HTML5, JavaScript, GWT, Ember, Angular frameworks, Vue etc).
Database Expert.
At least 3 Years experience.",Small (0 - 50),Software
Senior Java Engineer,"End-to-end development of software components/services (research, design, development, testing, rollout, monitoring)
Contribute to technological and architectural decisions
Mentor other engineers in the team (via code reviews, dedicated sessions, pair programming, etc.)
Analyze and improve efficiency, scalability, and stability of various components in our system
Collaborate with Designers, Product Managers, and Software Engineers to deliver the best product to our customers","BSc in computer science/engineering (or equivalent) with 5+ years of hands-on experience
Significant work experience with Java & Spring framework
Some work experience with Front-end development in React
Some experience in Node.js / TypeScript
Proven track record of designing and building native-cloud web applications from scratch on AWS
Experience with microservice architecture, including serverless (lambda)
Experience with working in a scrum team according to Agile principles
Solid understanding of design patterns, software development techniques, and clean code practices
Fluent English (written & spoken)
A team player with strong communication skills and a can-do approach
Experience with TDD/BDD – advantage",500+,Software
Full Stack Engineer,"empowers the world's largest enterprises to secure their cyber-physical systems across industrial (OT), healthcare (IoMT), and enterprise (IoT) environments: the Extended Internet of Things (XIoT). The Platform integrates with customers' existing infrastructure to provide a full range of controls for visibility, risk and vulnerability management, threat detection, and secure remote access. Our platform is deployed by hundreds of organizations at thousands of sites across all seven continents.
Launched by the famed Team8 foundry in 2015, is headquartered in New York City, with employees across the Americas, Europe, Asia-Pacific, and Tel Aviv. Claroty has raised $635 million in funding from the world's largest investment firms and industrial automation vendors - including SoftBank, Bessemer Venture Partners, Rockwell Automation, Schneider Electric, and Siemens - making it the most well-funded industrial cybersecurity company.
At we are looking to hire individuals who embody our core values: People First, Customer Obsession, Strive for Excellence, and Integrity.
We always search for energetic people who will get excited about these values and make a difference.","Responsibilities
As a Full Stack Engineer at you will:
"" Take full ownership over features, end to end, from design with product, architecture, and development to deployment at the customer.
"" Design and solve complex computer network challenges in a creative and secure manner.
"" Work and master a diversified technology environment - Angular, Python3, OS and network internals, critical mission architecture, and more
"" Drive product and technical innovation as well as software development
"" best practices.

:Requirements
"" 5+ years of Knowledge and experience with Angular - Must
"" 5+ years of experience developing server applications in Python\Javascript - Must
"" Team player - Be able to work in a fast-paced environment while interacting with other developers
"" Self-learner - Ability to take on new technologies, research and implement new solutions
"" Adaptability, flexibility, positive energy, integrity, and ownership
"" Experience with SQL databases - Advantage
"" Experience in Cyber Security and Linux - Advantage
"" Experience in Networking - Advantage
is an equal-opportunity employer and is committed to fostering a diverse and inclusive work environment for all. We encourage applications from candidates of all diverse backgrounds.",Large (150+),Software
Senior Full Stack Engineer(Angular),"Be part of analyzing, designing, and developing new features for the company's web interfaces and backend infrastructure of a fast-growing SaaS enterprise product. Take part in feature development from the requirement definition stage to final deliverable.
Lead and own various development efforts in the group (Backend/Frontend/Client)
Research platforms and frameworks in the Server side, Cloud and Container Orchestration domains, Web, UI
Produce quality products that meet high security, stability and performance standards
Diverse technology stack using various programming languages such as Java Spring Boot, or Angular 10+.
Member in a highly talented cross-functional development team, built of developers and QA, in an Agile oriented environment.
Report to R&D team leader","Computer Science degree or Elite alumni graduate or similar experience
5+ years of experience building highly-scalable, interactive backend applications using Java Spring or Spring Boot and interacting with web applications using Angular 2+
2+ years of experience with AWS/GCP/Azure
Proactive, highly motivated individual with a high work ethic and goal-oriented approach
Ability to lead complex technical challenges (high technical capabilities and independence, excellent design and analytical skills)
High ability to adopt new technologies and understand them in depth through rapid self-learning
Experience working on large & complex projects
Creative thinking & problem solving
Great interpersonal relations, team player",500+,Software
